unique_id,code,desc,value,reason,workgroup,controllable,r_cat,r_dets,code_prm,code_sub
OP0622-2021-10-02-AUH-SEZ,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,2,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0022-2021-10-02-MAN-AUH,81A,En-route ATC demand/Capacity constraints; En-route military exercise,6,Air Traffic Flow Management Restrictions - En-route ATC congestion,NOC,N,Air Traffic Flow Management Restrictions,route ATC congestion,81,A
OP0042-2021-10-02-DUB-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,6,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0130-2021-10-02-IAD-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,11,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0074-2021-10-02-ZRH-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,16,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0091-2021-10-02-AUH-JTR,40A,Defects identified during transit; Application of MEL; Lack of manpower,6,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0083-2021-10-02-AUH-FCO,18B,Late or incorrectly sorted transfer baggage; Lack of staff/equipment (use 91B ,11,Pax & Bag - Late or incorrectly sorted transfer baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted transfer baggage,18,B
OP0370-2021-10-02-BAH-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0237-2021-10-02-BLR-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,10,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP2424-2021-10-02-AUH-MNL,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,32,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP2334-2021-10-02-JED-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,5,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0150-2021-10-02-ORD-AUH,32A,Special/Bulky cargo difficult to load/unload/move (no pre-notification received,22,Aircraft & Ramp - Special/Bulky load handling,Below Wing,N,Aircraft & Ramp,Special/Bulky load handling,32,A
OP0037-2021-10-02-AUH-CDG,71A,Outside aircraft limits; Weather below operating limits; Extra fuel/payload alt,20,Weather - Departure Station below operating limits / ambient conditions change,Weather,N,Weather,Departure Station below operating limits / ambient conditions change,71,A
OP0008-2021-10-03-FRA-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,8,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0658-2021-10-03-CAI-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,10,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0268-2021-10-03-AUH-MAA,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0244-2021-10-03-LHE-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,15,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0276-2021-10-03-AUH-HYD,16H,Slow settling of guests on board ,6,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0007-2021-10-03-AUH-FRA,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,16,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0411-2021-10-03-KUL-AUH,18A,Late delivery of local baggage; Late delivery of bulky baggage; Lack of staff/,9,Pax & Bag - Late or incorrectly sorted local baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted local baggage,18,A
OP0397-2021-10-03-AUH-DOH,16I,Guest boarding,9,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0246-2021-10-03-AUH-COK,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,70,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP2551-2021-10-03-AUH-RUH,16G,Voluntary offload for personal reasons ,20,Pax & Bag - Voluntary Guest Offload,Above Wing,N,Pax & Bag,Voluntary Guest Offload,16,G
OP0654-2021-10-03-CAI-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,8,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0078-2021-10-04-AMS-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0655-2021-10-04-AUH-CAI,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2321-2021-10-04-AUH-DMM,16I,Guest boarding,7,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0100-2021-10-04-LAX-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2514-2021-10-04-JED-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,7,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0018-2021-10-04-LHR-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0654-2021-10-04-CAI-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0065-2021-10-04-AUH-DME,96R,Aircraft change for non-technical reasons (use 46R for aircraft changes due tec,36,Reactionary - Aircraft changes for reasons other than Technical ,NOC,N,Reactionary,Aircraft changes for reasons other than Technical,96,R
OP0097-2021-10-04-AUH-IST,85B,Extraordinary check requested by airport/government authorities; Lack/Breakdown,8,Airport/Govt Authorities - Airport/Government security authorities,AptAuth,N,Airport/Govt Authorities,Airport/Government security authorities,85,B
OP0385-2021-10-04-MCT-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,40,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0130-2021-10-04-IAD-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0230-2021-10-04-AUH-DAC,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,20,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0247-2021-10-04-COK-AUH,62A,Late/Incorrect advice of fuel figures from flight deck; ,10,Crew - Late/Change fuel notification from flight deck,Fleet Operations,N,Crew,Late/Change fuel notification from flight deck,62,A
OP2513-2021-10-04-AUH-JED,99A,This code shall be used only when it is clear that a reason cannot be matched ,29,Miscellaneous - No suitable code,Others,N,Miscellaneous,No suitable code,99,A
OP0141-2021-10-05-AUH-YYZ,16I,Guest boarding,43,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP2333-2021-10-05-AUH-JED,16I,Guest boarding,18,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP2551-2021-10-05-AUH-RUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,9,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0088-2021-10-05-MXP-AUH,58A,Failure of airline's cellular/ landline/ radio/ VHF systems use 87B for airport,10,Failure of airline's communication systems at airport,Others,N,Failure of airline's communication systems at airport,Failure of airline's communication systems at airport,58,A
OP0235-2021-10-05-DAC-AUH,04A,Dispatch errors; Inefficient coordination of turnaround activities;,33,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP0654-2021-10-05-CAI-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,10,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0211-2021-10-05-NCR-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,1,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0081-2021-10-05-AUH-MXP,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,9,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0012-2021-10-05-LHR-AUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,28,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0538-2021-10-05-BEY-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,3,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP2003-2021-10-05-FRA-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,2,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP2334-2021-10-05-JED-AUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,6,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0232-2021-10-05-ISB-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,12,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0050-2021-10-05-BCN-AUH,55A,DCS / Load control system failure/slow response Local/Host network failure/slow,6,Localised Failure/Slow response of DCS / check-in system outage/latency,Others,N,Localised Failure/Slow response of DCS / check,in system outage/latency,55,A
OP0019-2021-10-05-AUH-LHR,92R,empty,8,Reactionary - Guest check-in error at originating station,Above Wing,N,Reactionary,in error at originating station,92,R
OP0657-2021-10-06-AUH-CAI,16E,Repatriation/Deportation handling; Inadmissible handling; Disruptive guest han,28,Pax & Bag - Abnormal guest handling,Above Wing,N,Pax & Bag,Abnormal guest handling,16,E
OP0084-2021-10-06-FCO-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,13,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0140-2021-10-06-YYZ-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0871-2021-10-06-NRT-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0538-2021-10-07-BEY-AUH,85A,Baggage identification/offload due missing guest; Mandatory guest offload with,12,Airport/Govt Authorities - Mandatory security guests and baggage,Above Wing,Y,Airport/Govt Authorities,Mandatory security guests and baggage,85,A
OP0273-2021-10-07-TRV-AUH,16H,Slow settling of guests on board ,2,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0395-2021-10-07-AUH-DOH,18B,Late or incorrectly sorted transfer baggage; Lack of staff/equipment (use 91B ,8,Pax & Bag - Late or incorrectly sorted transfer baggage,Below Wing,Y,Pax & Bag,Late or incorrectly sorted transfer baggage,18,B
OP0140-2021-10-07-YYZ-AUH,04A,Dispatch errors; Inefficient coordination of turnaround activities;,4,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP0272-2021-10-07-AUH-TRV,16H,Slow settling of guests on board ,12,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0873-2021-10-07-ICN-AUH,40A,Defects identified during transit; Application of MEL; Lack of manpower,56,Technical - Defects identified during transit (other than cabin/IFE items),Technical,N,Technical,Defects identified during transit (other than cabin/IFE items),40,A
OP0020-2021-10-07-LHR-AUH,16D,Involuntary offloading of guest (incl. baggage) due medical reasons; on-board,25,Pax & Bag - Medical or personal offload / Medical assessment,Above Wing,N,Pax & Bag,Medical or personal offload / Medical assessment,16,D
OP0514-2021-10-07-AMM-AUH,55A,DCS / Load control system failure/slow response Local/Host network failure/slow,42,Localised Failure/Slow response of DCS / check-in system outage/latency,Others,N,Localised Failure/Slow response of DCS / check,in system outage/latency,55,A
OP0280-2021-10-07-AUH-COK,16H,Slow settling of guests on board ,6,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0275-2021-10-07-HYD-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0655-2021-10-07-AUH-CAI,16H,Slow settling of guests on board ,4,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0005-2021-10-07-AUH-MUC,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2552-2021-10-07-RUH-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,77,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0654-2021-10-07-CAI-AUH,16H,Slow settling of guests on board ,15,Pax & Bag - Guest settling on board,Above Wing,N,Pax & Bag,Guest settling on board,16,H
OP0610-2021-10-07-CMN-AUH,16A,Commercial publicity; Press or media activities; VIP handling,9,"Pax & Bag - Commercial publicity, VIP, press handling",Above Wing,N,Pax & Bag,"Commercial publicity, VIP, press handling",16,A
OP0100-2021-10-07-LAX-AUH,85B,Extraordinary check requested by airport/government authorities; Lack/Breakdown,12,Airport/Govt Authorities - Airport/Government security authorities,AptAuth,N,Airport/Govt Authorities,Airport/Government security authorities,85,B
OP0431-2021-10-07-BKK-HKT,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0241-2021-10-07-AUH-LHE,16F,Guest refusing to sit in assigned seat (use 15E when caused by editing issues),12,Pax & Bag - Guest seating,Above Wing,N,Pax & Bag,Guest seating,16,F
OP0233-2021-10-07-AUH-ISB,16D,Involuntary offloading of guest (incl. baggage) due medical reasons; on-board,15,Pax & Bag - Medical or personal offload / Medical assessment,Above Wing,N,Pax & Bag,Medical or personal offload / Medical assessment,16,D
OP0147-2021-10-07-VIE-MXP,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0050-2021-10-07-BCN-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP2424-2021-10-07-AUH-MNL,22A,Late/Lack of manpower and/or ground service equipment by GHA,5,Cargo & Mail - Late/Lack of manpower and/or ground service equipment by GHA,Below Wing,Y,Cargo & Mail,Late/Lack of manpower and/or ground service equipment by GHA,22,A
OP0856-2021-10-07-AUH-ICN,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0012-2021-10-07-LHR-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,7,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0006-2021-10-07-MUC-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0200-2021-10-07-AUH-KHI,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,15,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0242-2021-10-07-LHE-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,7,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0151-2021-10-07-AUH-ORD,85B,Extraordinary check requested by airport/government authorities; Lack/Breakdown,7,Airport/Govt Authorities - Airport/Government security authorities,AptAuth,N,Airport/Govt Authorities,Airport/Government security authorities,85,B
OP0235-2021-10-07-DAC-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,12,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0474-2021-10-07-AUH-CGK,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,40,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0082-2021-10-07-MXP-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,15,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0460-2021-10-07-AUH-MEL,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0022-2021-10-07-MAN-AUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,26,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0455-2021-10-07-SYD-AUH,22A,Late/Lack of manpower and/or ground service equipment by GHA,35,Cargo & Mail - Late/Lack of manpower and/or ground service equipment by GHA,Below Wing,Y,Cargo & Mail,Late/Lack of manpower and/or ground service equipment by GHA,22,A
OP2551-2021-10-07-AUH-RUH,10C,Late guest acceptance from another delayed/cancelled/overbooked flight,55,Pax & Bag - Acceptance of guests after flight closure for abnormal ops,Above Wing,N,Pax & Bag,Acceptance of guests after flight closure for abnormal ops,10,C
OP0307-2021-10-07-AUH-KWI,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,21,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0038-2021-10-07-CDG-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,5,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP2423-2021-10-07-MNL-AUH,33A,empty,9,Aircraft & Ramp - Late or lack of loading equipment ,Below Wing,Y,Aircraft & Ramp,Late or lack of loading equipment,33,A
